1.321875432443162524e+00,3.547999999999999687e+01
9.796412810526247128e-01,4.184000000000000341e+01
8.062097366698229850e-01,4.478999999999999915e+01
6.264599113217996784e-01,5.031000000000000227e+01
4.958435591700979250e-01,5.610000000000000142e+01
4.010621143655000442e-01,6.132000000000000028e+01
3.709403552975224505e-01,6.359000000000000341e+01
3.349795899497360896e-01,6.676999999999999602e+01
3.268457696181266137e-01,6.778000000000000114e+01
3.049771364241301574e-01,7.021999999999999886e+01
3.135370890199780658e-01,7.025000000000000000e+01
3.176140939621375225e-01,7.034000000000000341e+01
3.243819686157927706e-01,7.079000000000000625e+01
3.267175256874960132e-01,7.107999999999999829e+01
3.353078281541514993e-01,7.079000000000000625e+01
